id,email_normalized,message_bounce,name,complete_name,lang,tz,comment,active,type,street,street2,city,country_id/id,partner_latitude,partner_longitude,email,phone,mobile,company_id/id,color,partner_share,commercial_company_name,company_name,contact_address_complete,signup_type,calendar_last_notif_ack,team_id/id,partner_gid,ocn_token,debit_limit,invoice_warn,supplier_rank,customer_rank,picking_warn,purchase_warn,sale_warn,followup_reminder_type,x_studio_vat_registration_status,x_studio_svat_registration_status,x_studio_bank_guarantee_amount,x_studio_payment_method
res_partner_no_contract_emp_e2e_1774859658436_170,,0,No Contract Emp [E2E-1774859658436-170],No Contract Emp [E2E-1774859658436-170],en_US,,,1,contact,,,,,0.0,0.0,,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-03-30 08:36:39,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_no_contract_emp_e2e_1774859959842_152,,0,No Contract Emp [E2E-1774859959842-152],No Contract Emp [E2E-1774859959842-152],en_US,,,1,contact,,,,,0.0,0.0,,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-03-30 08:41:46,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_no_contract_emp_e2e_1774860228580_378,,0,No Contract Emp [E2E-1774860228580-378],No Contract Emp [E2E-1774860228580-378],en_US,,,1,contact,,,,,0.0,0.0,,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-03-30 08:46:14,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_production_manager,productionmanager@jinasena.com.lk,0,Production Manager,Production Manager,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,productionmanager@jinasena.com.lk,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,3,1,,,,,2021-03-18 05:56:13,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_rubber_development_department,,0,RUBBER DEVELOPMENT DEPARTMENT,RUBBER DEVELOPMENT DEPARTMENT,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-02-25 04:10:47,,0,,0.0,no-message,0,1,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_store_keeper,storekeeper@jinasena.com.lk,0,Store Keeper,Store Keeper,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,Storekeeper@jinasena.com.lk,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,3,1,,,,,2021-03-18 05:56:13,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_stores_assistant_manager,storesassistantmanager@jinasena.com.lk,0,Stores Assistant Manager,Stores Assistant Manager,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,storesassistantmanager@jinasena.com.lk,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,3,1,,,,,2021-03-18 05:56:13,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 05:23:52,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7434,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 05:04:50,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7430,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:55:06,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7426,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:44:18,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7422,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:28:48,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7418,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:04:51,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7415,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 03:44:31,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7411,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 03:14:28,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7408,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 10:05:46,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7405,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 09:58:15,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7398,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 09:08:05,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7394,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 08:38:03,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7391,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 08:32:09,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7389,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 07:58:47,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7387,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 07:52:05,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7382,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 07:37:36,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7378,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 07:30:06,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_alice_johnson_7374,alice.johnson@test-jinasena.com,0,Test - Alice Johnson,Test - Alice Johnson,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,alice.johnson@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 02:19:24,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 05:23:59,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7435,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 05:04:56,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7431,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:55:12,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7427,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:44:24,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7423,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:28:56,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7419,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:04:58,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7412,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 03:14:34,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7402,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 09:15:53,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7399,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 09:08:11,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7395,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 08:38:09,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7392,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 08:32:16,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7385,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 07:46:14,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7383,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 07:37:41,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7379,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 07:30:11,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_bob_williams_7375,bob.williams@test-jinasena.com,0,Test - Bob Williams,Test - Bob Williams,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,bob.williams@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 02:19:28,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 05:24:09,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7436,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 05:05:02,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7432,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:55:22,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7428,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:44:30,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7424,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:29:01,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7420,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 04:05:08,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7416,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 03:44:39,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7413,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-23 03:14:40,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7409,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 10:05:59,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7406,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 09:58:28,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7403,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 09:16:00,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7400,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 09:08:16,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7396,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 08:38:16,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_carol_davis_7393,carol.davis@test-jinasena.com,0,Test - Carol Davis,Test - Carol Davis,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,carol.davis@test-jinasena.com,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-04-22 08:32:22,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
